# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps
0.00000,-0.30843,8.05052,2.34924,0.99311,2.64705
0.06308,-0.35411,8.09403,2.41331,0.98676,2.65491
0.12581,-0.40212,8.13439,2.47630,0.96109,2.66821
0.18823,-0.45223,8.17162,2.53775,0.93861,2.69279
0.25042,-0.50424,8.20572,2.59771,0.91541,2.71965
0.31240,-0.55792,8.23669,2.65622,0.89349,2.74842
0.37420,-0.61308,8.26456,2.71336,0.87319,2.77808
0.43582,-0.66951,8.28932,2.76926,0.85493,2.80792
0.49728,-0.72701,8.31101,2.82404,0.83881,2.83728
0.55857,-0.78541,8.32965,2.87784,0.82474,2.86560
0.61971,-0.84452,8.34525,2.93080,0.81234,2.89245
0.68070,-0.90419,8.35785,2.98299,0.80104,2.91759
0.74157,-0.96429,8.36749,3.03446,0.78985,2.94108
0.80235,-1.02470,8.37420,3.08519,0.77795,2.96349
0.86311,-1.08534,8.37802,3.13506,0.76233,2.98572
0.92393,-1.14615,8.37898,-3.09930,0.74810,3.01004
0.98496,-1.20715,8.37713,-3.05188,0.71261,3.03526
1.04668,-1.26870,8.37246,-3.00758,0.65374,3.07034
1.10955,-1.33112,8.36497,-2.96726,0.59304,3.11851
1.17374,-1.39449,8.35472,-2.93079,0.53452,3.17631
1.23937,-1.45883,8.34179,-2.89797,0.48095,3.24151
1.30647,-1.52411,8.32628,-2.86843,0.43319,3.31234
1.37498,-1.59022,8.30832,-2.84180,0.39132,3.38742
1.44481,-1.65705,8.28806,-2.81770,0.35495,3.46559
1.51581,-1.72442,8.26565,-2.79579,0.32353,3.54591
1.58780,-1.79216,8.24128,-2.77578,0.29648,3.62758
1.66056,-1.86006,8.21512,-2.75737,0.27331,3.70991
1.73385,-1.92789,8.18737,-2.74035,0.25353,3.79229
1.80740,-1.99543,8.15825,-2.72450,0.23665,3.87419
1.88094,-2.06244,8.12794,-2.70962,0.22338,3.95514
1.95420,-2.12869,8.09667,-2.69560,0.21022,4.03458
